method,BLEU,ROUGE-L,BERTScore-F1,Distinct-1,Distinct-2,Average-length,Empty-output-rate
finetuned_beam,3.365437903039308,0.18954403620807586,0.8569726204872131,0.145703125,0.3390438247011952,51.2,0.0
finetuned_greedy,3.5973738136430584,0.19462349999705408,0.859994193315506,0.16330023964395754,0.39254615116684083,58.42,0.0
finetuned_temperature,2.79067301775079,0.1745868682074157,0.8567534697055816,0.23477694562031912,0.6219794769943727,61.42,0.0
finetuned_top_k,1.6297148165786888,0.1586946974718384,0.8497206687927246,0.27817824377457406,0.7448367754830113,61.04,0.0
finetuned_top_p,2.060135180377604,0.160465819722044,0.8511204361915589,0.2885973763874874,0.7512829284981184,59.46,0.0
pretrained_greedy,5.079781065159451,0.1800767984273448,0.8502288472652435,0.13301387970918704,0.35421526157947353,121.04,0.0
